block,moment_name,value,se,N,unit
F3_PFL,F3_earn_pfl_pre_allwomen,24482.42749143299,911.7352356055843,1133,USD2024
F3_PFL,F3_earn_pfl_pre_mothers,27747.07253082705,4487.973417136277,71,USD2024
F3_PFL_ES,F3_eventstudy_CA_t-1,14613.1806640625,,10,USD2024
F3_PFL_ES,F3_eventstudy_CA_t-3,19080.9921875,,10,USD2024
F3_PFL_ES,F3_eventstudy_CA_t-5,11053.9169921875,,15,USD2024
F3_PFL_ES,F3_eventstudy_CA_t1,22857.220703125,,16,USD2024
F3_PFL_ES,F3_eventstudy_CA_t3,27928.744140625,,21,USD2024
F3_PFL_ES,F3_eventstudy_CA_t5,35383.77734375,,16,USD2024
F3_PFL_ES,F3_eventstudy_CA_t7,21379.228515625,,17,USD2024
F3_PFL_ES,F3_eventstudy_control_t-1,24042.322265625,,135,USD2024
F3_PFL_ES,F3_eventstudy_control_t-3,27698.728515625,,113,USD2024
F3_PFL_ES,F3_eventstudy_control_t-5,25323.466796875,,118,USD2024
F3_PFL_ES,F3_eventstudy_control_t1,25727.646484375,,166,USD2024
F3_PFL_ES,F3_eventstudy_control_t3,24958.927734375,,181,USD2024
F3_PFL_ES,F3_eventstudy_control_t5,26991.43359375,,172,USD2024
F3_PFL_ES,F3_eventstudy_control_t7,25585.62890625,,179,USD2024
F6_OCC,F6_hiamen_share_q1_post,.3930753469467163,.0220426876435888,491,share
F6_OCC,F6_hiamen_share_q1_pre,.4124999940395355,.0317768094788295,240,share
F6_OCC,F6_hiamen_share_q2_post,.46549192070961,.019114355318499,681,share
F6_OCC,F6_hiamen_share_q2_pre,.5272727012634277,.0274831187726595,330,share
F6_OCC,F6_hiamen_share_q3_post,.3590096235275269,.017791460238468,727,share
F6_OCC,F6_hiamen_share_q3_pre,.3946666717529297,.0252404379233216,375,share
F6_OCC,F6_hiamen_share_q4_post,.2682926952838898,.0163096611658794,738,share
F6_OCC,F6_hiamen_share_q4_pre,.2739018201828003,.0226693804282539,387,share
F6_OCC,F6_hiamen_share_q5_post,.1183144226670265,.0130026876698075,617,share
F6_OCC,F6_hiamen_share_q5_pre,.1116751283407211,.0158677748697403,394,share
F6_OCC,F6_mother_overrep_occ1,1.00064218044281,,,ratio
F6_OCC,F6_mother_overrep_occ2,.9854452013969421,,,ratio
F6_OCC,F6_mother_overrep_occ3,1.033929824829102,,,ratio
F6_OCC,F6_mother_overrep_occ4,.9989527463912964,,,ratio
F6_OCC,F6_mother_overrep_occ5,.9662005305290222,,,ratio
F6_OCC,F6_mother_overrep_occ6,1.025123834609985,,,ratio
F6_OCC,F6_move_to_hiamen_q1,.1553398058252427,.0356914161924068,103,rate
F6_OCC,F6_move_to_hiamen_q2,.1267605633802817,.0279199462941636,142,rate
F6_OCC,F6_move_to_hiamen_q3,.0866666666666667,.022971802360801,150,rate
F6_OCC,F6_move_to_hiamen_q4,.0714285714285714,.020753114398142,154,rate
F6_OCC,F6_move_to_hiamen_q5,.0335570469798658,.0147532209150465,149,rate
F6_OCC,F6_occ_change_rate_q1,.4466019417475728,.0489847060910238,103,rate
F6_OCC,F6_occ_change_rate_q2,.3380281690140845,.039696482794411,142,rate
F6_OCC,F6_occ_change_rate_q3,.2666666666666667,.0361068373539376,150,rate
F6_OCC,F6_occ_change_rate_q4,.2792207792207792,.0361505272609893,154,rate
F6_OCC,F6_occ_change_rate_q5,.2214765100671141,.0340178265106315,149,rate
MOTHER_GAP,mothergap_age25-29,-.3782434463500977,.0174136068671942,14775,log_diff
MOTHER_GAP,mothergap_age30-34,-.4367218017578125,.0200955327600241,14985,log_diff
MOTHER_GAP,mothergap_age35-39,-.3820829391479492,.0231234654784203,14179,log_diff
MOTHER_GAP,mothergap_age40-44,-.3503026962280273,.0258677322417498,13095,log_diff
MOTHER_GAP,mothergap_age45-49,-.1374397277832031,.0308696404099464,11569,log_diff
MOTHER_GAP,mothergap_age50-55,-.0822763442993164,.0324756391346455,11541,log_diff
MOTHER_GAP,mothergap_college,7378,,7378,log_diff
MOTHER_GAP,mothergap_noncollege,72734,,,log_diff
